,seeds1,seeds2,moves,player1,player2
866,27,10,66534225115526236213213561425266331522413342536625122334,5958,1952
1166,25,16,66523256215322543123326134512334611161521444365345233141536653611415,7541,1952
1881,19,25,6644663234216641344212443332453355362415265122335415266645566413312255443344161516516,625,1952
1899,26,11,664466252225641544653645146235442533145421415163143253455435164433422344316416125,1567,1952
2287,32,7,664416432662142353161412634142142344613543546524354351152215243543546516,625,1952
3754,27,12,663533436621512413541536324153114255245344161516663265445,2493,1952
4820,29,0,663345466332364526634233156342334442312361512345425325112244451354352461443261425166,1567,1952
8767,25,10,66214324262115112441613664554351662112,2955,1952
8935,25,17,66154151613154311311613351266534421315161436456151215534451354253261425366514233141526516,4045,1952
9450,25,5,661215116251614161534412136252643352624453642114332244336243516665,246,1952
10277,48,0,65466446113143214334451612625,7893,1952
10311,31,6,65446533522552435435461155445526315241221455336,800,1952
10316,25,6,65446526431434452336152445323413442625161112453354263526511253423122516,2955,1952
10320,26,16,65446523566232431363534455324554254334554144553315442551324354653324413255436451666,625,1952
10332,17,25,6544652151224512442541613115624125325265416251666362536611251244531534455621123324614152334161526516,246,1952
10433,11,25,654365322111453262412214453345241665144555463122136,1952,6522
10667,25,6,654355246521336544551325344156661514233145126514,1952,478
10755,13,25,6542653435426345344513426455225546152423635445521426356611253443645265243311244332546344565132233461122334415265115244253344526514233146,7815,1952
10811,26,18,65426524116535642546654453145231532262514451355643155234554354265511425324354666354425366151422314352662514332142345344566215,3270,1952
10847,25,0,6542652241154445214365144555244516553514422,7893,1952
11044,26,3,654225316522311145623144466554161516132151136,3882,1952
11120,15,25,6541613164354121331143314524453262413322554456661513223143526516,625,1952
11177,11,27,65416122545131544553554435521253415533445226536551641526,2572,1952
11179,26,3,654161216514344561234245216144542543331451423345244655364151226,395,1952
11181,21,27,654161216452333542542553411142625133524524335544615566655466152332415265161423314253651614213243546516,3270,1952
11285,26,2,653634356352225312561166331455161161214,1567,1952
11319,29,0,6534653345134435422243143521614233251425365,6746,1952
11320,3,26,65346533256314356215531223512352413123353431452252435435415314524565443551422415534425366,1952,2104
11321,28,2,6534653325631435621545236441543552614132433544253665511,3042,1952
11324,25,0,653465324563536445322212433425416541123351244214334425263,3042,1952
11333,27,10,6534635335145562225334152161322335142536544,3531,1952
11334,26,11,65346353351442236552445562335445566142243344546632211514524533144615162363446,1765,1952
11335,26,10,65346353245341653212624364354223643113422433445211632431466,2493,1952
11338,8,26,6534634514666546622253142262344531661421413346142234534452661423344152656,1952,1214
11379,28,6,6534362566561312531614151611365521613213244,2493,1952
11380,26,15,6534356353435514455221156443142252326153466411233243161566341546615,3531,1952
11393,27,13,65343151652212553315411565112635135125133412312353631234553321543342613422154314253665445,246,1952
11412,25,19,65336553645122354364556216652416131521533445165142336351442512544335244536514262332415514233442536516,246,1952
11518,26,16,65336522541114336152422355123445132653651614,1952,5746
11616,25,15,6533652125136134352334154115245561364514512362113224316142652643452416154661312213342552354,2493,1952
11788,16,25,653345146516634435124534134522431426213122413342154316141615265644153216142533665442536615,911,1952
11827,26,18,6533161251153362256332455324662151316243546622133421435233446155225344351651612233541526416,395,1952
11922,26,9,65326523651664112534456156142361346,7435,1952
11954,4,25,65326523153165413543152233531223316341615665132465231432,1443,1952
11955,27,9,653265231531653124351343152663251142251443261425166122132456412262513,7435,1952
11956,26,7,6532652315316531243513344314263244151361563161522,8299,1952
11993,9,25,653265226435233524442315664253361511142622521514253152425166,625,1952
12260,33,8,653225321115223335243516312513342536124656352641513243546,5836,1952
12343,26,22,6531614645364446214533121324352656115422621431522624151334161543541615253354425311324554253344556,967,1952
12346,17,25,653161416156514443445632614553235542341554453342254334415565112345543665142231425463112625,7815,1952
12349,30,4,653161416124632546443165264132253453243526522343324414224334453662413213243516613241225,6746,1952
12392,9,26,653161236522352412315332442615142255643541542234433446,1007,1952
12477,26,15,653156211411232622133663466332214521435315425523465455435411524553142546511223664122633255243542531425316,246,1952
12549,11,25,652463351242621643351442234534413566311243243615165,1952,3590
12550,25,14,65246335124262132435414514334255662461426,246,1952
12576,26,18,6524452622511556425511225144322534455163651442151433452435466551445216151325443546514262312312544335244536516,911,1952
12597,35,13,6524354114413543255514415533243256663125641132254251363513552452415536543513445522435435465122334415265112233445566,1765,1952
12618,25,0,6524256333246536121542354425436334451641144334422443344635114233442615265,7916,1952
12620,25,18,65242563332415266215344564554452354325443651651325324152661534152663524514234435516,7541,1952
12623,26,11,65242562336534253212633425311433464425226335556116314,5127,1952
12624,15,25,6524256232123633143254332655342231361514513322336646623421344213456644332445165645543354254661514524534455325543161425366151451425534452344354661325,7541,1952
12807,25,7,652361411164254631441254353343341251432153461422534514261565324,5127,1952
13044,14,25,652325115225134535435511234233465514655365324356,5836,1952
13097,32,7,65226551224255621224152131435213213346536623324153646234435466112234435465,1952,478
13550,28,2,6522411533452244455315542541123223346551423425435435465,3882,1952
13614,16,26,6522152423432415226255344553666115543244615266455465333445,7683,1952
13618,2,27,6522152325111235241533563352233112351433142151326545341543254435415361141326,7541,1952
13702,26,2,652161416156512334145531624253244532436,246,1952
14082,25,20,651215643564446512256445364564332546642516111426251332612456614154651612566544533554452651422314645365344223543546612213543546516,2955,1952
14124,26,15,6512112152623561415162213364534262516135133611551235435526221152341533624351253254435465142336,2257,1952
14426,15,28,645264151141314225144531225241324366526516112332442533445116,8298,1952
14685,18,25,6446416621644115466315442213216155435532432153314263556652335514453623142252435465345243546526233445125334214332544354662513344251234432534516,625,1952
14769,28,5,64456324436533644512453445541543241633151463246546115,395,1952
14805,28,8,644364322164233144114334422433446155625164151326,5958,1952
15307,26,10,6441615651424655564455153161514221123425334426251662513,2229,1952
15713,25,11,6435634533446512223344152161324325143546542526312233146,6746,1952
15722,17,26,64356151122334166533446536335143522311441522614251345243546523363445125133422453453455466351342512443325443546615,1952,3531
16083,14,25,6432615162214136426231223521613251431662112235263426,1567,1952
16445,17,25,6431261134251332264516132415263156425311524334253641225231421324351666453443261534253661225141526,1952,246
16764,15,25,642526235364251653641522241613244652345643546416132432411422461423155624154632455666243342536415,4045,1952
16863,26,0,642324625263336415615415366,3210,1952
16873,14,25,64226514653564455514253254624466651422313242636252611322334661423315161412226252643364514161521426,7893,1952
17698,30,6,641513231465215122552413253311254123122362334514114233452445364413344255143546215344551231524423543645166,7541,1952
17782,12,28,641256514321161324521443542615235435442335514452654435512335425364152132435465112236,800,1952
17909,6,31,6411565113142453345144132451355161326554453315544556,8298,1952
18006,23,25,6354412144511125564216144352215443523113223351415262113246431462134436156445334421161224334454233442161324355643543526662531425364161322334451661513243243546516,2858,1952
18427,4,25,634466623442224433441344364213564556245543556131614156235416,3270,1952
18596,26,12,63422613211541224332234553144352334425263123325243546524534512544335542541613213266,395,1952
19028,30,11,633562334263224336314135234233462466354661552662435134224533544551166,1007,1952
19046,25,6,63356222651161312513356241132243543251644312245335641556643516523161412,625,1952
19133,27,8,633561226524456411432461315514433554261141521131516433256422415233166,7435,1952
19209,25,15,6334666222124664352243344511665,5958,1952
19211,13,28,63346632122262465114132614252445513413663425665312,246,1952
20149,25,11,63252265526342655312511553455223544161241344336253644233556665331534422445126233442134556,6512,1952
20202,25,6,63252115514152115543556322534664125141226133144126225,5127,1952
