,seeds1,seeds2,moves,player1,player2
226,27,5,66553344332346611252361334624,5714,401
324,28,11,665526113112115162236634336625142536465,5714,2025
330,25,12,66552334126536326321665534233456151661224,5714,5458
332,13,28,665522563444354622346111523524554651221361532532416,6191,5714
333,20,25,665522563343541442261455124334415641543243546,5127,5714
334,26,4,6655225632625141322544564536436324411151426,5714,1894
336,11,25,665522552145523255444233356251326324266312361412624462112663251124325213151141322334152621415,5458,5714
342,25,9,6655222513321331326226332446442511226256453,5714,7907
343,8,28,6655222511412622143416135211442113321613451122442351123324356,395,5714
350,13,26,66552156133464351355346521345346231512154324161565564431612234524,2323,5714
351,27,4,66552146351633611336521161561233161466226634132436153221123352614,5714,5127
352,25,19,6655214635163261451126124466453142236614264115122334455,5714,5127
353,19,25,6655214635163261451122461466453142236614264115122334455,5127,5714
354,25,6,6655214635163261411522461366151614355465236,5714,5127
355,18,27,665521463511346315614226241346151614453425335225143541612514453351244532155445235445366,504,5714
356,5,25,6655214333524336345543364415543321321423546,1568,5714
357,26,17,665521433351164226554251342145334412526,5714,504
358,17,25,665521433351113256351342543151632611423661255,1568,5714
361,15,26,6655214232216136522533325326432214512331426235311335412233463415224354613156133522461325463415266334251243245234416,1568,5714
362,27,10,66552142322161325561113344421433442144334454332412443123544233544554652441635136536512,1568,5714
363,12,25,66552142312361235165315245312455332462456151122645611613153142516121331455426,1568,5714
364,25,10,665521413526514261336233514465165435214,5714,714
365,28,17,665521413522316122114161223615336614623352221442332625362435415,5714,4851
686,20,28,6654261334136151612552351362332145263422554,625,5714
687,13,26,665426124413632124614113246236344366152316644135425,8278,5714
688,20,28,66542612441234411442615134152161513255341366645642331662224,625,5714
689,7,25,665426124316632411612451121566131615561416243,8278,5714
692,19,29,66542612341223241611511241342311246321144251613566524231221425413246556416122,625,5714
695,10,26,665426113311633151233556341256143613453666411243351415462454311523615342316,5127,5714
709,15,25,66542246331364543364553463552455611215415361325514433554451665251264355,8278,5714
710,13,26,665422463311625146142645331536146425435235465,8278,5714
711,25,7,665422463262415142125541322623465112534556142645516,5714,3141
712,15,25,665422463166512312621623155621613154163513224,8345,5714
715,12,25,6654224521112243554455312551144335652413513524413655443542625,7907,5714
716,25,15,6654224344264261423111634412341353656352142214316123514233463262431154116,5714,8278
717,25,16,665422434426416131134233452614153346241536511532542541326142133645245246316,5714,246
729,25,10,6654214653664131644324314266115311324325432216245433152152355365512236133415264215332435544,5714,246
730,25,5,66542145632111256151464253252415512236624,5714,6191
994,2,25,6653162434226116534566115546512516426216144122152356133,8278,5714
995,25,11,665316243422611451612453146131615343352213534432211524153344546554455224456612653112461533342234524,5714,504
996,10,26,66531623423314641115346523652441341365244132654334253665445,246,5714
997,11,25,665316234233116116135133615462465211615443211461235134555433145622411223461415266556316112426,1301,5714
1000,11,27,665316223433143251361556215441256316125115331551422433615615662435524,7534,5714
1001,12,25,66531622334324641355521645663163262335462425366213245,504,5714
1020,30,14,665312562312211352365322631153345324354524425235445523344551165244533455166,504,5714
